ticket,customer_id,complaint_category,complaint_date,severity
TICKET000055,CUST098360,Poor Customer Service,2024-10-13,6
TICKET000056,CUST033434,ATM Withdrawal Failed,2025-02-11,0
TICKET000057,CUST081342,ATM Withdrawal Failed,2024-07-07,6
TICKET000058,CUST019182,Mobile App Issues,2024-12-01,6
TICKET000059,CUST093063,Unauthorized Transaction,2025-04-11,2
TICKET000060,CUST041294,Incorrect Charges,2024-08-27,9
TICKET000061,CUST058638,Incorrect Charges,2024-06-14,9
TICKET000062,CUST047808,Card Not Working,2024-09-13,7
TICKET000063,CUST027376,Unauthorized Transaction,2024-08-14,0
TICKET000064,CUST002853,Account Locked,2024-12-20,5
TICKET000065,CUST036453,Unauthorized Transaction,2024-12-22,2
TICKET000066,CUST096382,Delayed Refund,2025-04-11,4
TICKET000067,CUST030289,ATM Withdrawal Failed,2025-03-03,0
TICKET000068,CUST020976,Loan Application Rejected,2025-01-01,5
TICKET000069,CUST008532,Mobile App Issues,2024-08-13,2
TICKET000070,CUST029817,Incorrect Charges,2024-06-16,6
TICKET000071,CUST045744,Mobile App Issues,2025-03-08,8
TICKET000072,CUST058406,Card Not Working,2024-08-14,3
TICKET000073,CUST097853,Mobile App Issues,2025-03-31,10
TICKET000074,CUST087175,Incorrect Charges,2025-05-04,9
TICKET000075,CUST075636,Delayed Refund,2024-06-21,10
TICKET000076,CUST032313,Poor Customer Service,2024-06-09,3
TICKET000077,CUST080958,Delayed Refund,2024-06-23,0
TICKET000078,CUST032249,ATM Withdrawal Failed,2025-01-14,2
TICKET000079,CUST086346,Card Not Working,2024-08-11,5
TICKET000080,CUST069739,Card Not Working,2024-08-17,9
TICKET000081,CUST062780,Delayed Refund,2024-05-29,8
TICKET000082,CUST076632,Card Not Working,2025-03-05,5
TICKET000083,CUST078013,Account Locked,2024-06-10,4
TICKET000084,CUST026481,Account Locked,2024-05-13,1
TICKET000085,CUST089196,ATM Withdrawal Failed,2025-03-29,0
TICKET000086,CUST069236,ATM Withdrawal Failed,2025-04-25,9
TICKET000087,CUST048677,ATM Withdrawal Failed,2024-11-11,10
TICKET000088,CUST001106,Delayed Refund,2024-09-15,5
TICKET000089,CUST077801,Card Not Working,2024-09-28,10
TICKET000090,CUST002182,KYC Verification Delay,2025-02-11,4
TICKET000091,CUST066879,Card Not Working,2025-01-21,0
TICKET000092,CUST003913,Delayed Refund,2024-06-01,9
TICKET000093,CUST020272,KYC Verification Delay,2024-07-17,8
TICKET000094,CUST031427,Poor Customer Service,2025-02-23,10
TICKET000095,CUST075663,Delayed Refund,2024-09-28,4
TICKET000096,CUST029189,Loan Application Rejected,2024-10-26,1
TICKET000097,CUST089998,KYC Verification Delay,2025-04-15,6
TICKET000098,CUST028852,Poor Customer Service,2024-11-05,2
TICKET000099,CUST076225,Unauthorized Transaction,2025-03-17,2
TICKET000100,CUST087750,Poor Customer Service,2025-04-29,3
TICKET000101,CUST010192,Delayed Refund,2024-11-27,2
TICKET000102,CUST051719,Delayed Refund,2024-09-30,4
TICKET000103,CUST088831,Delayed Refund,2024-08-23,8
TICKET000104,CUST056306,Incorrect Charges,2024-05-19,4
TICKET000105,CUST017539,ATM Withdrawal Failed,2025-01-02,2
TICKET000106,CUST084366,KYC Verification Delay,2024-05-23,4
TICKET000107,CUST096346,Mobile App Issues,2025-04-27,4
TICKET000108,CUST026167,ATM Withdrawal Failed,2025-01-03,7
TICKET000109,CUST053241,Account Locked,2025-04-15,3
TICKET000110,CUST075648,Loan Application Rejected,2024-06-30,0
TICKET000111,CUST079320,Loan Application Rejected,2025-02-23,2
TICKET000112,CUST020974,Incorrect Charges,2025-01-31,1
TICKET000113,CUST021252,Card Not Working,2024-05-24,6
TICKET000114,CUST098456,Loan Application Rejected,2025-03-24,10
TICKET000115,CUST094671,Card Not Working,2024-05-19,1
TICKET000116,CUST054855,KYC Verification Delay,2024-11-08,4
TICKET000117,CUST089473,Card Not Working,2024-06-01,10
TICKET000118,CUST050573,Loan Application Rejected,2024-12-01,1
TICKET000119,CUST031092,KYC Verification Delay,2025-04-09,0
TICKET000120,CUST001137,Unauthorized Transaction,2024-06-14,9
TICKET000121,CUST068485,ATM Withdrawal Failed,2024-10-25,4
TICKET000122,CUST095002,Mobile App Issues,2024-06-22,4
TICKET000123,CUST030659,Delayed Refund,2025-03-26,0
TICKET000124,CUST054274,Delayed Refund,2025-04-17,1
TICKET000125,CUST076586,Delayed Refund,2024-06-02,3
TICKET000126,CUST043507,KYC Verification Delay,2024-09-03,4
TICKET000127,CUST036271,Delayed Refund,2025-02-08,5
TICKET000128,CUST003651,Incorrect Charges,2025-03-28,2
TICKET000129,CUST072659,Card Not Working,2025-01-30,2
TICKET000130,CUST077922,Unauthorized Transaction,2024-10-28,8
TICKET000131,CUST095933,Card Not Working,2025-04-13,2
TICKET000132,CUST077508,Delayed Refund,2024-11-02,3
TICKET000133,CUST014117,Loan Application Rejected,2024-11-29,6
TICKET000134,CUST078821,Poor Customer Service,2024-12-08,0
TICKET000135,CUST060480,Incorrect Charges,2024-12-21,8
TICKET000136,CUST067035,Incorrect Charges,2024-11-05,10
TICKET000137,CUST076772,Card Not Working,2024-06-21,10
TICKET000138,CUST062958,ATM Withdrawal Failed,2024-06-17,8
TICKET000139,CUST004545,Mobile App Issues,2024-11-16,0
TICKET000140,CUST070585,Poor Customer Service,2024-07-05,3
TICKET000141,CUST016808,Unauthorized Transaction,2025-03-25,7
TICKET000142,CUST079364,ATM Withdrawal Failed,2025-02-17,8
TICKET000143,CUST094215,Account Locked,2024-09-26,5
TICKET000144,CUST006551,Poor Customer Service,2024-11-05,0
TICKET000145,CUST081940,Mobile App Issues,2024-09-27,1
TICKET000146,CUST019029,Unauthorized Transaction,2024-11-20,6
TICKET000147,CUST071210,Delayed Refund,2024-06-04,4
TICKET000148,CUST013674,Loan Application Rejected,2024-10-12,4
TICKET000149,CUST085984,Loan Application Rejected,2024-06-03,10
TICKET000150,CUST051817,Account Locked,2025-02-24,7
TICKET000151,CUST021873,Mobile App Issues,2024-12-23,4
TICKET000152,CUST060971,Loan Application Rejected,2025-01-07,10
TICKET000153,CUST072497,Card Not Working,2024-10-09,8
TICKET000154,CUST085673,Account Locked,2024-12-09,4
TICKET000155,CUST059508,Poor Customer Service,2025-01-30,4
TICKET000156,CUST051890,Card Not Working,2024-06-15,8
TICKET000157,CUST035582,Card Not Working,2024-05-26,8
TICKET000158,CUST023874,Account Locked,2024-07-02,7
TICKET000159,CUST070827,Mobile App Issues,2024-09-28,6
TICKET000160,CUST088051,KYC Verification Delay,2024-08-01,5
TICKET000161,CUST060218,Unauthorized Transaction,2024-11-20,0
TICKET000162,CUST015460,Unauthorized Transaction,2024-05-07,4
TICKET000163,CUST090255,Incorrect Charges,2025-02-12,7
TICKET000164,CUST026404,ATM Withdrawal Failed,2024-11-18,7
TICKET000165,CUST048662,Incorrect Charges,2024-10-30,5
TICKET000166,CUST032097,Unauthorized Transaction,2025-03-16,0
TICKET000167,CUST036258,Card Not Working,2024-12-23,6
TICKET000168,CUST005436,Account Locked,2025-03-19,4
TICKET000169,CUST059185,Card Not Working,2024-11-20,9
TICKET000170,CUST041712,Mobile App Issues,2024-06-28,9
TICKET000171,CUST049835,Mobile App Issues,2024-06-06,5
TICKET000172,CUST084079,KYC Verification Delay,2024-12-04,7
TICKET000173,CUST051180,ATM Withdrawal Failed,2024-12-25,5
TICKET000174,CUST055568,Mobile App Issues,2024-07-09,5
TICKET000175,CUST034565,Mobile App Issues,2024-06-24,3
TICKET000176,CUST073053,Mobile App Issues,2024-10-06,8
TICKET000177,CUST095913,Card Not Working,2024-06-10,3
TICKET000178,CUST042398,ATM Withdrawal Failed,2025-01-16,8
TICKET000179,CUST051328,KYC Verification Delay,2024-12-27,10
TICKET000180,CUST010021,Incorrect Charges,2024-06-24,9
TICKET000181,CUST051412,Unauthorized Transaction,2024-07-19,5
TICKET000182,CUST011542,ATM Withdrawal Failed,2025-01-12,3
TICKET000183,CUST040696,Delayed Refund,2024-07-11,10
TICKET000184,CUST028215,Incorrect Charges,2025-03-16,0
TICKET000185,CUST060639,ATM Withdrawal Failed,2024-08-01,0
TICKET000186,CUST054704,Unauthorized Transaction,2024-08-01,1
TICKET000187,CUST025743,Delayed Refund,2024-06-22,6
TICKET000188,CUST080331,Delayed Refund,2024-07-17,9
TICKET000189,CUST054219,KYC Verification Delay,2025-04-29,0
TICKET000190,CUST080920,Poor Customer Service,2024-07-09,0
TICKET000191,CUST095792,Unauthorized Transaction,2025-01-06,10
TICKET000192,CUST038012,KYC Verification Delay,2025-03-30,9
TICKET000193,CUST053789,KYC Verification Delay,2025-04-09,8
TICKET000194,CUST051933,Poor Customer Service,2024-10-19,2
TICKET000195,CUST034827,Incorrect Charges,2025-03-27,4
TICKET000196,CUST016709,Incorrect Charges,2025-03-27,7
TICKET000197,CUST011137,Account Locked,2024-08-12,4
TICKET000198,CUST033623,Mobile App Issues,2025-01-06,3
TICKET000199,CUST096660,Unauthorized Transaction,2025-02-16,2
TICKET000200,CUST090693,Account Locked,2025-04-11,5
TICKET000201,CUST054660,Poor Customer Service,2024-11-01,8
TICKET000202,CUST057147,Incorrect Charges,2025-01-10,3
TICKET000203,CUST011854,Mobile App Issues,2024-12-04,3
TICKET000204,CUST070442,Unauthorized Transaction,2024-09-04,10
TICKET000205,CUST084561,Incorrect Charges,2024-09-29,4
TICKET000206,CUST061916,Incorrect Charges,2024-06-01,8
TICKET000207,CUST087936,Mobile App Issues,2024-12-20,6
TICKET000208,CUST010591,Delayed Refund,2024-05-19,3
TICKET000209,CUST086692,ATM Withdrawal Failed,2025-03-15,1
TICKET000210,CUST021255,Poor Customer Service,2024-09-04,9
TICKET000211,CUST059558,Unauthorized Transaction,2024-08-09,8
TICKET000212,CUST040332,ATM Withdrawal Failed,2024-11-04,1
TICKET000213,CUST032450,Unauthorized Transaction,2024-10-26,9
TICKET000214,CUST054455,Account Locked,2024-11-04,2
TICKET000215,CUST017626,Poor Customer Service,2024-09-21,6
TICKET000216,CUST010133,Unauthorized Transaction,2024-05-25,1
TICKET000217,CUST036763,Delayed Refund,2025-04-11,2
TICKET000218,CUST076263,Card Not Working,2024-06-20,4
TICKET000219,CUST064209,Delayed Refund,2024-11-01,3
TICKET000220,CUST051422,Loan Application Rejected,2025-03-21,4
TICKET000221,CUST011268,Card Not Working,2024-10-14,8
TICKET000222,CUST083730,Unauthorized Transaction,2024-06-09,3
TICKET000223,CUST065634,Incorrect Charges,2025-02-28,7
TICKET000224,CUST013384,Poor Customer Service,2024-09-16,3
TICKET000225,CUST089323,ATM Withdrawal Failed,2024-09-29,10
TICKET000226,CUST021393,Mobile App Issues,2024-05-20,4
TICKET000227,CUST030064,KYC Verification Delay,2024-11-05,8
TICKET000228,CUST069760,KYC Verification Delay,2024-11-30,4
TICKET000229,CUST086824,Delayed Refund,2025-02-24,10
TICKET000230,CUST092890,KYC Verification Delay,2024-09-14,7
TICKET000231,CUST002265,Loan Application Rejected,2025-01-16,7
TICKET000232,CUST042288,Incorrect Charges,2024-06-27,3
TICKET000233,CUST012756,Account Locked,2025-04-26,5
TICKET000234,CUST070666,Delayed Refund,2024-11-10,2
TICKET000235,CUST085406,Loan Application Rejected,2025-01-05,10
TICKET000236,CUST099821,KYC Verification Delay,2025-01-23,8
TICKET000237,CUST032595,Account Locked,2025-04-11,1
TICKET000238,CUST008717,Mobile App Issues,2024-08-02,6
TICKET000239,CUST064193,Loan Application Rejected,2025-04-30,2
TICKET000240,CUST091218,Mobile App Issues,2024-07-12,5
TICKET000241,CUST079125,Account Locked,2024-07-01,6
TICKET000242,CUST062297,Incorrect Charges,2025-04-15,1
TICKET000243,CUST043547,Unauthorized Transaction,2024-07-08,4
TICKET000244,CUST003980,KYC Verification Delay,2024-07-17,6
TICKET000245,CUST026177,Card Not Working,2024-11-11,1
TICKET000246,CUST081485,KYC Verification Delay,2025-04-14,8
TICKET000247,CUST010460,Unauthorized Transaction,2025-04-10,9
TICKET000248,CUST062153,Poor Customer Service,2025-02-22,9
TICKET000249,CUST075362,Poor Customer Service,2024-07-16,6
TICKET000250,CUST061360,Mobile App Issues,2024-10-10,1
TICKET000251,CUST090882,Unauthorized Transaction,2024-12-06,9
TICKET000252,CUST016921,Loan Application Rejected,2024-12-10,6
TICKET000253,CUST013573,Unauthorized Transaction,2024-10-08,3
TICKET000254,CUST023061,Poor Customer Service,2024-11-08,2
TICKET000255,CUST051394,Mobile App Issues,2025-01-23,5
TICKET000256,CUST006909,Account Locked,2025-02-16,10
TICKET000257,CUST069706,ATM Withdrawal Failed,2024-10-14,4
TICKET000258,CUST027628,Card Not Working,2024-09-23,1
TICKET000259,CUST004608,Mobile App Issues,2024-08-22,2
TICKET000260,CUST039864,Card Not Working,2024-09-09,6
TICKET000261,CUST016320,Loan Application Rejected,2024-09-21,2
TICKET000262,CUST001818,Incorrect Charges,2025-04-27,4
TICKET000263,CUST062563,Card Not Working,2024-11-06,7
TICKET000264,CUST036721,Delayed Refund,2024-07-26,3
TICKET000265,CUST066924,Poor Customer Service,2025-02-28,9
TICKET000266,CUST056886,Delayed Refund,2024-08-26,8
TICKET000267,CUST073476,Delayed Refund,2025-02-25,5
TICKET000268,CUST064619,Account Locked,2024-10-15,8
TICKET000269,CUST043299,Account Locked,2025-03-03,5
TICKET000270,CUST053719,Incorrect Charges,2024-10-11,6
TICKET000271,CUST051997,Card Not Working,2024-07-20,2
TICKET000272,CUST000128,KYC Verification Delay,2024-06-02,1
TICKET000273,CUST024109,Mobile App Issues,2024-12-13,4
TICKET000274,CUST073779,Delayed Refund,2025-01-15,4
TICKET000275,CUST028182,Mobile App Issues,2024-10-17,0
TICKET000276,CUST082385,ATM Withdrawal Failed,2024-10-17,6
TICKET000277,CUST062149,Incorrect Charges,2025-02-19,0
TICKET000278,CUST095195,ATM Withdrawal Failed,2024-11-11,5
TICKET000279,CUST099775,ATM Withdrawal Failed,2024-10-31,3
TICKET000280,CUST010070,ATM Withdrawal Failed,2024-05-26,2
TICKET000281,CUST053539,Mobile App Issues,2025-01-25,8
TICKET000282,CUST035136,KYC Verification Delay,2025-03-27,5
TICKET000283,CUST047120,Poor Customer Service,2024-10-17,4
TICKET000284,CUST019112,Delayed Refund,2024-12-26,5
TICKET000285,CUST000479,KYC Verification Delay,2024-12-29,7
TICKET000286,CUST074943,Poor Customer Service,2024-12-19,0
TICKET000287,CUST021506,Poor Customer Service,2024-09-05,2
TICKET000288,CUST046862,Account Locked,2024-09-06,8
TICKET000289,CUST057863,Incorrect Charges,2024-05-19,4
TICKET000290,CUST076987,Delayed Refund,2024-12-08,5
TICKET000291,CUST050075,Loan Application Rejected,2024-12-24,5
TICKET000292,CUST011114,Incorrect Charges,2024-06-07,1
TICKET000293,CUST011134,Account Locked,2024-11-25,5
TICKET000294,CUST082332,Account Locked,2025-04-19,1
TICKET000295,CUST096650,Incorrect Charges,2024-09-05,9
TICKET000296,CUST098962,Mobile App Issues,2024-11-15,4
TICKET000297,CUST066834,Poor Customer Service,2024-08-02,1
TICKET000298,CUST017903,Unauthorized Transaction,2025-04-28,0
TICKET000299,CUST022431,Unauthorized Transaction,2024-12-30,4
TICKET000300,CUST008766,Delayed Refund,2024-11-03,8
TICKET000301,CUST002254,Poor Customer Service,2024-06-05,1
TICKET000302,CUST088469,Delayed Refund,2024-08-31,0
TICKET000303,CUST017860,Mobile App Issues,2024-08-26,6
TICKET000304,CUST076794,ATM Withdrawal Failed,2025-01-10,4
TICKET000305,CUST067276,Incorrect Charges,2024-12-14,3
TICKET000306,CUST073903,Delayed Refund,2024-07-27,0
TICKET000307,CUST093486,Unauthorized Transaction,2024-12-22,5
TICKET000308,CUST008936,Incorrect Charges,2025-02-23,6
TICKET000309,CUST060159,KYC Verification Delay,2024-10-13,8
TICKET000310,CUST055253,Delayed Refund,2025-02-04,9
TICKET000311,CUST014128,Mobile App Issues,2024-12-29,8
TICKET000312,CUST003343,Delayed Refund,2024-05-28,5
TICKET000313,CUST080313,ATM Withdrawal Failed,2024-09-15,3
TICKET000314,CUST073544,Account Locked,2025-04-24,1
TICKET000315,CUST028463,KYC Verification Delay,2024-06-03,8
TICKET000316,CUST082202,Loan Application Rejected,2025-04-02,3
TICKET000317,CUST009074,ATM Withdrawal Failed,2024-09-11,4
TICKET000318,CUST058564,Delayed Refund,2024-10-11,8
TICKET000319,CUST074055,KYC Verification Delay,2024-07-10,1
TICKET000320,CUST015744,Unauthorized Transaction,2024-09-02,7
TICKET000321,CUST047563,Card Not Working,2024-05-24,7
TICKET000322,CUST080997,ATM Withdrawal Failed,2024-08-12,10
TICKET000323,CUST037563,ATM Withdrawal Failed,2024-08-06,8
TICKET000324,CUST063310,ATM Withdrawal Failed,2024-09-25,5
TICKET000325,CUST036603,KYC Verification Delay,2024-10-11,1
TICKET000326,CUST014358,Account Locked,2025-04-17,1
TICKET000327,CUST058582,Incorrect Charges,2025-04-19,9
TICKET000328,CUST098015,Incorrect Charges,2024-11-14,3
TICKET000329,CUST059041,Account Locked,2024-08-07,5
TICKET000330,CUST065205,Poor Customer Service,2024-12-04,8
TICKET000331,CUST022844,Loan Application Rejected,2024-10-18,4
TICKET000332,CUST014736,Unauthorized Transaction,2025-03-12,9
TICKET000333,CUST079610,KYC Verification Delay,2024-12-21,4
TICKET000334,CUST077271,Incorrect Charges,2024-07-20,2
TICKET000335,CUST015916,Mobile App Issues,2024-08-21,2
TICKET000336,CUST053730,Incorrect Charges,2025-02-28,4
TICKET000337,CUST040848,ATM Withdrawal Failed,2024-11-10,2
TICKET000338,CUST002019,Card Not Working,2024-06-10,5
TICKET000339,CUST033737,KYC Verification Delay,2025-03-05,6
TICKET000340,CUST062846,Poor Customer Service,2025-03-23,2
TICKET000341,CUST043510,Mobile App Issues,2025-04-09,2
TICKET000342,CUST025734,Poor Customer Service,2025-03-19,5
TICKET000343,CUST092161,Incorrect Charges,2024-07-10,6
TICKET000344,CUST071967,Loan Application Rejected,2025-04-09,6
TICKET000345,CUST081239,Card Not Working,2024-12-25,1
TICKET000346,CUST037537,Poor Customer Service,2024-08-26,0
TICKET000347,CUST014291,Loan Application Rejected,2024-12-12,7
TICKET000348,CUST096616,Poor Customer Service,2024-08-29,2
TICKET000349,CUST065527,ATM Withdrawal Failed,2024-11-10,9
TICKET000350,CUST086094,ATM Withdrawal Failed,2024-05-26,0
TICKET000351,CUST069315,Incorrect Charges,2024-08-05,9
TICKET000352,CUST045656,Account Locked,2025-04-21,4
TICKET000353,CUST040203,Unauthorized Transaction,2025-04-04,10
TICKET000354,CUST051477,Account Locked,2024-06-19,1
TICKET000355,CUST028447,Incorrect Charges,2024-07-08,0
TICKET000356,CUST070790,ATM Withdrawal Failed,2024-08-07,6
TICKET000357,CUST058050,Loan Application Rejected,2024-09-27,7
TICKET000358,CUST043740,Account Locked,2024-07-17,4
TICKET000359,CUST052778,KYC Verification Delay,2024-10-09,10
TICKET000360,CUST051120,Loan Application Rejected,2024-10-17,0
TICKET000361,CUST062042,Card Not Working,2024-10-06,3
TICKET000362,CUST050685,Card Not Working,2025-02-04,8
TICKET000363,CUST071706,Mobile App Issues,2025-04-11,2
TICKET000364,CUST043062,KYC Verification Delay,2024-11-22,0
TICKET000365,CUST039202,Delayed Refund,2025-02-02,10
TICKET000366,CUST053108,ATM Withdrawal Failed,2024-10-07,1
TICKET000367,CUST035785,Mobile App Issues,2024-12-06,7
TICKET000368,CUST073163,KYC Verification Delay,2025-01-14,3
TICKET000369,CUST000033,ATM Withdrawal Failed,2024-11-24,1
TICKET000370,CUST043287,Poor Customer Service,2025-04-07,0
TICKET000371,CUST057780,Poor Customer Service,2025-02-28,5
TICKET000372,CUST072491,Account Locked,2025-03-09,2
TICKET000373,CUST046957,Delayed Refund,2024-11-13,5
TICKET000374,CUST053004,Delayed Refund,2025-04-27,6
TICKET000375,CUST024855,Account Locked,2025-01-01,7
TICKET000376,CUST019432,ATM Withdrawal Failed,2024-05-06,4
TICKET000377,CUST090427,Mobile App Issues,2024-05-09,7
TICKET000378,CUST085919,Account Locked,2024-11-05,9
TICKET000379,CUST075688,Incorrect Charges,2024-10-27,4
TICKET000380,CUST021899,ATM Withdrawal Failed,2024-10-29,1
TICKET000381,CUST064364,Delayed Refund,2024-10-26,10
TICKET000382,CUST065065,Card Not Working,2025-05-01,6
TICKET000383,CUST009266,Card Not Working,2024-10-21,5
TICKET000384,CUST040317,KYC Verification Delay,2024-05-20,1
TICKET000385,CUST068041,Incorrect Charges,2024-05-10,4
TICKET000386,CUST033362,KYC Verification Delay,2025-02-03,4
TICKET000387,CUST096782,Mobile App Issues,2024-05-30,6
TICKET000388,CUST047971,Delayed Refund,2024-08-13,4
TICKET000389,CUST036511,ATM Withdrawal Failed,2024-10-14,10
TICKET000390,CUST000342,Incorrect Charges,2024-12-05,8
TICKET000391,CUST014935,Delayed Refund,2024-07-19,4
TICKET000392,CUST017223,ATM Withdrawal Failed,2025-04-11,6
TICKET000393,CUST021016,Loan Application Rejected,2025-01-29,3
TICKET000394,CUST054547,ATM Withdrawal Failed,2024-05-29,1
TICKET000395,CUST026133,Account Locked,2024-06-10,4
TICKET000396,CUST057044,Unauthorized Transaction,2024-12-08,2
TICKET000397,CUST067883,ATM Withdrawal Failed,2024-06-12,2
TICKET000398,CUST003968,Delayed Refund,2024-10-20,10
TICKET000399,CUST023446,Account Locked,2024-11-29,10
TICKET000400,CUST043666,Mobile App Issues,2025-01-21,2
TICKET000401,CUST015769,Card Not Working,2024-10-30,8
TICKET000402,CUST045986,Unauthorized Transaction,2024-10-25,7
TICKET000403,CUST085370,Card Not Working,2024-11-09,5
TICKET000404,CUST003237,Mobile App Issues,2024-05-14,7
TICKET000405,CUST044552,Mobile App Issues,2025-02-03,2
TICKET000406,CUST035228,Mobile App Issues,2025-04-27,7
TICKET000407,CUST057962,Account Locked,2024-09-11,4
TICKET000408,CUST010862,Poor Customer Service,2024-10-16,7
TICKET000409,CUST004589,ATM Withdrawal Failed,2024-10-18,0
TICKET000410,CUST004969,Incorrect Charges,2025-04-27,10
TICKET000411,CUST011483,Mobile App Issues,2024-05-30,8
TICKET000412,CUST062279,KYC Verification Delay,2024-08-13,6
TICKET000413,CUST042783,Incorrect Charges,2024-12-15,7
TICKET000414,CUST036942,Poor Customer Service,2024-11-20,9
TICKET000415,CUST031530,KYC Verification Delay,2024-08-03,10
TICKET000416,CUST050676,Delayed Refund,2024-12-07,3
TICKET000417,CUST013081,Account Locked,2024-07-02,9
TICKET000418,CUST012084,Loan Application Rejected,2024-08-22,0
TICKET000419,CUST010173,ATM Withdrawal Failed,2024-12-06,7
TICKET000420,CUST037097,Poor Customer Service,2024-12-28,4
TICKET000421,CUST035187,Card Not Working,2024-05-12,4
TICKET000422,CUST037701,Incorrect Charges,2024-09-08,9
TICKET000423,CUST037925,Account Locked,2025-01-06,2
TICKET000424,CUST026382,ATM Withdrawal Failed,2024-10-15,4
TICKET000425,CUST084871,Card Not Working,2025-04-05,7
TICKET000426,CUST082039,Delayed Refund,2025-01-02,5
TICKET000427,CUST092320,Mobile App Issues,2024-11-17,4
TICKET000428,CUST089435,Account Locked,2025-03-28,10
TICKET000429,CUST075415,Account Locked,2024-07-30,2
TICKET000430,CUST043484,Account Locked,2024-07-07,1
TICKET000431,CUST042177,Unauthorized Transaction,2025-01-14,3
TICKET000432,CUST065356,Account Locked,2024-12-03,0
TICKET000433,CUST018146,Unauthorized Transaction,2025-03-05,6
TICKET000434,CUST016777,Poor Customer Service,2025-02-23,3
TICKET000435,CUST024063,Incorrect Charges,2025-01-20,1
TICKET000436,CUST075835,Loan Application Rejected,2025-01-22,4
TICKET000437,CUST022114,Card Not Working,2024-12-14,2
TICKET000438,CUST005003,Account Locked,2025-01-21,3
TICKET000439,CUST031012,KYC Verification Delay,2024-10-12,9
TICKET000440,CUST073987,Poor Customer Service,2024-08-05,6
TICKET000441,CUST083246,Delayed Refund,2024-09-07,6
TICKET000442,CUST087360,Delayed Refund,2025-04-11,5
TICKET000443,CUST094137,Poor Customer Service,2024-12-05,1
TICKET000444,CUST075059,Incorrect Charges,2025-01-23,7
TICKET000445,CUST024695,Unauthorized Transaction,2025-03-24,9
TICKET000446,CUST033461,Card Not Working,2024-08-05,0
TICKET000447,CUST056732,Incorrect Charges,2024-12-12,3
