customer_id|loan_type|amount_utilized|utilization_date|loan_reason
CUST096733|Auto Loan|683000|2024-06-08|We are awaiting your confirmation that the revised contract terms are reviewed and accepted
CUST030824|Top-Up Loan|248000|2024-05-11|Thank you for your attention that there are no pending items before the closure of this phase
CUST002215|Auto Loan|559000|2024-12-08|It has been way too long since we could book tickets for that concert happening next month
CUST073151|Medical Loan|113000|2025-03-10|Thank you for your attention that your valuable feedback is shared with the broader management team
CUST032850|Loan Against Deposit|613000|2024-09-17|Maybe we can plan something we could hang out by the beach before it gets colder again
CUST093961|Credit Card Loan|497000|2024-12-06|Please ensure that that the revised contract terms are reviewed and accepted
CUST048396|Education Loan|16000|2025-01-17|Hey I was thinking we could go for a hike if the weather stays good
CUST057327|Personal Loan|439000|2025-03-09|Let me know if we could go for a hike if the weather stays good
CUST015330|Education Loan|205000|2024-09-20|It would be awesome if we could go on a spontaneous road trip without much planning
CUST044659|Business Loan|295000|2025-02-24|You should definitely join we could hang out by the beach before it gets colder again
CUST017422|Auto Loan|518000|2024-12-31|Maybe we can plan something we could hang out by the beach before it gets colder again
CUST095545|Credit Card Loan|291000|2024-10-06|We should arrange a meeting that the scheduled timeline for the project remains unchanged
CUST009112|Travel Loan|72000|2025-03-20|It would be awesome if we could start working on that project idea we joked about earlier
CUST018904|Medical Loan|301000|2024-08-27|It has been way too long since we could try that new pizza place everyone keeps recommending
CUST081068|Loan Against Deposit|27000|2024-11-21|Please ensure that that we maintain open communication during the implementation period
CUST024512|Loan Against Deposit|339000|2025-02-07|Please do not hesitate to reach out that your comments are incorporated into the final version of the agreement
CUST051568|Top-Up Loan|608000|2024-11-27|Please ensure that that the invoice details are correctly reflected in your records
CUST044255|Loan Against Deposit|332000|2024-10-09|We should arrange a meeting that there are no pending items before the closure of this phase
CUST035524|Top-Up Loan|773000|2025-03-23|We should arrange a meeting that your valuable feedback is shared with the broader management team
CUST012557|Credit Card Loan|510000|2024-09-09|It would be greatly appreciated if that the scheduled timeline for the project remains unchanged
CUST041925|Auto Loan|938000|2024-08-09|It has been way too long since we could go on a spontaneous road trip without much planning
CUST042132|Credit Card Loan|101000|2024-07-28|Hey I was thinking we could go on a spontaneous road trip without much planning
CUST067783|Personal Loan|259000|2024-12-02|I finally got time to we could host a small get-together at my place this weekend
CUST060674|Top-Up Loan|444000|2024-11-24|Hey I was thinking we could try that new pizza place everyone keeps recommending
CUST089552|Medical Loan|676000|2024-12-25|You should definitely join we could go for a hike if the weather stays good
CUST056192|Credit Card Loan|438000|2025-03-07|We should arrange a meeting that there are no pending items before the closure of this phase
CUST026063|Auto Loan|755000|2025-01-27|Let me know if we could book tickets for that concert happening next month
CUST076059|Personal Loan|713000|2025-04-15|Please ensure that that we maintain open communication during the implementation period
CUST084543|Auto Loan|678000|2025-02-22|We are awaiting your confirmation that the project deliverables are submitted by the upcoming deadline
CUST060791|Travel Loan|450000|2025-02-12|The requested documents have been prepared and that your valuable feedback is shared with the broader management team
CUST084859|Loan Against Deposit|453000|2024-11-16|Thinking we should we could book tickets for that concert happening next month
CUST092104|Auto Loan|806000|2024-07-21|Maybe we can plan something we could go for a hike if the weather stays good
CUST035451|Auto Loan|260000|2025-02-26|Thank you for your attention that your valuable feedback is shared with the broader management team
CUST052925|Home Loan|702000|2024-05-14|Please do not hesitate to reach out that all compliance requirements have been successfully met
CUST063676|Loan Against Deposit|45000|2025-01-07|It would be awesome if we could try that new pizza place everyone keeps recommending
CUST058961|Home Loan|96000|2025-01-21|Thinking we should we could go on a spontaneous road trip without much planning
CUST042517|Loan Against Deposit|337000|2024-12-24|Please do not hesitate to reach out that the project deliverables are submitted by the upcoming deadline
CUST073458|Loan Against Deposit|822000|2024-08-25|We seriously need to we could spend a lazy Sunday just binge-watching old shows
CUST014933|Medical Loan|837000|2024-08-29|Let me know if we could go for a hike if the weather stays good
CUST077745|Travel Loan|103000|2024-05-24|I am writing to follow up that we maintain open communication during the implementation period
CUST029400|Credit Card Loan|819000|2024-10-15|I am writing to follow up that the project deliverables are submitted by the upcoming deadline
CUST035098|Loan Against Deposit|389000|2024-06-26|Maybe we can plan something we could grab dinner sometime this week and catch up properly
CUST011568|Home Loan|164000|2024-07-31|Let me know if we could host a small get-together at my place this weekend
CUST033762|Credit Card Loan|811000|2024-10-14|Thinking we should we could go for a hike if the weather stays good
CUST021083|Home Loan|551000|2024-05-21|Let me know if we could spend a lazy Sunday just binge-watching old shows
CUST061208|Credit Card Loan|184000|2025-02-27|Thank you for your attention that the scheduled timeline for the project remains unchanged
CUST073678|Top-Up Loan|977000|2025-02-01|Hey I was thinking we could start working on that project idea we joked about earlier
CUST011002|Top-Up Loan|883000|2025-03-05|Maybe we can plan something we could go for a hike if the weather stays good
CUST016526|Auto Loan|702000|2024-11-21|Kindly let me know that there are no pending items before the closure of this phase
CUST047560|Medical Loan|821000|2024-10-25|It has been way too long since we could go on a spontaneous road trip without much planning
CUST076421|Top-Up Loan|780000|2025-04-19|It would be greatly appreciated if that the project deliverables are submitted by the upcoming deadline
CUST011049|Home Loan|967000|2024-08-20|Thinking we should we could hang out by the beach before it gets colder again
CUST018753|Credit Card Loan|37000|2024-08-11|Just wanted to say we could spend a lazy Sunday just binge-watching old shows
CUST020399|Credit Card Loan|768000|2024-12-26|Maybe we can plan something we could start working on that project idea we joked about earlier
CUST018865|Education Loan|184000|2024-11-04|It has been way too long since we could grab dinner sometime this week and catch up properly
CUST095567|Personal Loan|979000|2025-01-25|Maybe we can plan something we could grab dinner sometime this week and catch up properly
CUST053824|Medical Loan|719000|2025-01-12|Thank you for your attention that the updated policy guidelines have been distributed to all departments
CUST005610|Loan Against Deposit|427000|2024-09-25|It would be awesome if we could spend a lazy Sunday just binge-watching old shows
CUST029993|Credit Card Loan|983000|2024-12-15|It has been way too long since we could go for a hike if the weather stays good
CUST060812|Top-Up Loan|412000|2024-11-20|Maybe we can plan something we could grab dinner sometime this week and catch up properly
CUST033185|Credit Card Loan|908000|2025-01-31|You should definitely join we could grab dinner sometime this week and catch up properly
CUST028325|Loan Against Deposit|841000|2024-11-15|Thank you for your attention that all compliance requirements have been successfully met
CUST042291|Personal Loan|593000|2024-10-17|Thank you for your attention that all compliance requirements have been successfully met
CUST043900|Auto Loan|512000|2024-08-06|We seriously need to we could start working on that project idea we joked about earlier
CUST027216|Business Loan|946000|2024-08-11|I finally got time to we could host a small get-together at my place this weekend
CUST019342|Loan Against Deposit|245000|2025-01-22|Thank you for your attention that we maintain open communication during the implementation period
CUST020940|Business Loan|827000|2024-06-22|You should definitely join we could hang out by the beach before it gets colder again
CUST040123|Personal Loan|698000|2025-05-05|We seriously need to we could start working on that project idea we joked about earlier
CUST007719|Home Loan|241000|2025-03-24|Please do not hesitate to reach out that we maintain open communication during the implementation period
CUST006328|Loan Against Deposit|24000|2025-03-24|Maybe we can plan something we could go on a spontaneous road trip without much planning
CUST078479|Travel Loan|744000|2025-01-11|I finally got time to we could grab dinner sometime this week and catch up properly
CUST049499|Business Loan|270000|2024-07-14|Maybe we can plan something we could start working on that project idea we joked about earlier
CUST042686|Auto Loan|741000|2025-04-25|Maybe we can plan something we could hang out by the beach before it gets colder again
CUST038247|Medical Loan|854000|2024-12-23|It would be awesome if we could go for a hike if the weather stays good
CUST056164|Medical Loan|512000|2025-05-04|Hey I was thinking we could try that new pizza place everyone keeps recommending
CUST052394|Medical Loan|436000|2024-05-24|Thinking we should we could hang out by the beach before it gets colder again
CUST022110|Auto Loan|140000|2024-09-23|Thank you for your attention that your valuable feedback is shared with the broader management team
CUST045403|Home Loan|548000|2024-06-08|I would like to inform you that your valuable feedback is shared with the broader management team
CUST077054|Business Loan|414000|2025-03-29|We seriously need to we could book tickets for that concert happening next month
CUST005904|Top-Up Loan|514000|2024-06-01|Thinking we should we could hang out by the beach before it gets colder again
CUST067804|Personal Loan|187000|2025-02-06|We seriously need to we could host a small get-together at my place this weekend
CUST025702|Education Loan|396000|2024-05-26|I would like to inform you that all compliance requirements have been successfully met
CUST065739|Medical Loan|260000|2024-09-29|You should definitely join we could go for a hike if the weather stays good
CUST063038|Medical Loan|428000|2024-06-06|Let me know if we could start working on that project idea we joked about earlier
CUST051311|Medical Loan|590000|2024-07-21|The requested documents have been prepared and that the invoice details are correctly reflected in your records
CUST071635|Travel Loan|330000|2025-03-31|Please ensure that that your comments are incorporated into the final version of the agreement
CUST002545|Medical Loan|472000|2025-03-27|It has been way too long since we could go on a spontaneous road trip without much planning
CUST027704|Personal Loan|902000|2025-01-25|It would be greatly appreciated if that we maintain open communication during the implementation period
CUST066824|Credit Card Loan|257000|2024-10-04|Please do not hesitate to reach out that there are no pending items before the closure of this phase
CUST031109|Business Loan|623000|2024-08-13|Maybe we can plan something we could start working on that project idea we joked about earlier
CUST090854|Travel Loan|499000|2025-04-07|We are awaiting your confirmation that the project deliverables are submitted by the upcoming deadline
CUST050194|Personal Loan|957000|2024-10-02|It has been way too long since we could start working on that project idea we joked about earlier
CUST041944|Travel Loan|840000|2024-10-27|The requested documents have been prepared and that the revised contract terms are reviewed and accepted
CUST083941|Medical Loan|831000|2025-03-06|Thinking we should we could go on a spontaneous road trip without much planning
CUST066402|Loan Against Deposit|324000|2024-12-20|I am writing to follow up that we maintain open communication during the implementation period
CUST062314|Medical Loan|459000|2024-11-15|We should arrange a meeting that the scheduled timeline for the project remains unchanged
CUST080454|Loan Against Deposit|245000|2025-04-27|It would be awesome if we could check out that new movie you mentioned last month
CUST034864|Personal Loan|101000|2024-12-21|I would like to inform you that we maintain open communication during the implementation period
CUST053830|Auto Loan|666000|2024-09-03|Thank you for your attention that your valuable feedback is shared with the broader management team
CUST041319|Travel Loan|423000|2025-01-29|Hey I was thinking we could hang out by the beach before it gets colder again
CUST081707|Medical Loan|89000|2024-11-14|Please ensure that that the project deliverables are submitted by the upcoming deadline
CUST072964|Personal Loan|178000|2024-07-04|Let me know if we could spend a lazy Sunday just binge-watching old shows
CUST005438|Top-Up Loan|414000|2024-06-14|I am writing to follow up that the project deliverables are submitted by the upcoming deadline
CUST054142|Auto Loan|342000|2024-11-17|Maybe we can plan something we could start working on that project idea we joked about earlier
CUST083206|Education Loan|842000|2024-08-19|It would be greatly appreciated if that the updated policy guidelines have been distributed to all departments
CUST093513|Top-Up Loan|952000|2024-07-22|We should arrange a meeting that the invoice details are correctly reflected in your records
CUST065433|Personal Loan|648000|2024-12-10|Let me know if we could go for a hike if the weather stays good
CUST099821|Home Loan|157000|2025-04-03|It would be awesome if we could go on a spontaneous road trip without much planning
CUST069948|Top-Up Loan|340000|2024-12-01|You should definitely join we could book tickets for that concert happening next month
CUST071521|Medical Loan|276000|2024-05-28|Just wanted to say we could book tickets for that concert happening next month
CUST004887|Auto Loan|587000|2024-12-16|Thinking we should we could check out that new movie you mentioned last month
CUST023667|Loan Against Deposit|633000|2025-04-06|I am writing to follow up that the updated policy guidelines have been distributed to all departments
CUST003014|Home Loan|532000|2024-11-16|We seriously need to we could book tickets for that concert happening next month
CUST030636|Business Loan|388000|2024-08-11|I would like to inform you that the updated policy guidelines have been distributed to all departments
CUST004371|Travel Loan|322000|2024-09-12|Maybe we can plan something we could go for a hike if the weather stays good
CUST047521|Home Loan|293000|2024-07-03|We seriously need to we could go for a hike if the weather stays good
CUST030598|Credit Card Loan|947000|2024-07-23|Thinking we should we could go on a spontaneous road trip without much planning
CUST054238|Business Loan|486000|2024-11-21|I am writing to follow up that the revised contract terms are reviewed and accepted
CUST060951|Home Loan|449000|2024-12-23|Thinking we should we could host a small get-together at my place this weekend
CUST016952|Travel Loan|651000|2024-10-23|Please do not hesitate to reach out that we maintain open communication during the implementation period
CUST006456|Auto Loan|751000|2024-09-14|Thank you for your attention that the scheduled timeline for the project remains unchanged
CUST013536|Loan Against Deposit|701000|2024-07-09|We are awaiting your confirmation that we maintain open communication during the implementation period
CUST088498|Auto Loan|516000|2025-04-06|It would be greatly appreciated if that we maintain open communication during the implementation period
CUST021689|Home Loan|801000|2024-12-03|You should definitely join we could check out that new movie you mentioned last month
CUST067695|Auto Loan|327000|2024-09-24|Let me know if we could go for a hike if the weather stays good
CUST087608|Business Loan|204000|2024-09-25|I finally got time to we could spend a lazy Sunday just binge-watching old shows
CUST061329|Business Loan|426000|2024-07-03|Maybe we can plan something we could spend a lazy Sunday just binge-watching old shows
CUST094762|Top-Up Loan|98000|2024-10-01|Just wanted to say we could book tickets for that concert happening next month
CUST001488|Personal Loan|608000|2024-05-31|We should arrange a meeting that the invoice details are correctly reflected in your records
CUST040068|Business Loan|424000|2024-09-27|Hey I was thinking we could try that new pizza place everyone keeps recommending
CUST090788|Medical Loan|623000|2025-01-10|Please ensure that that your comments are incorporated into the final version of the agreement
CUST028917|Personal Loan|783000|2025-03-13|Please ensure that that the invoice details are correctly reflected in your records
CUST043253|Education Loan|788000|2024-05-28|Please do not hesitate to reach out that the scheduled timeline for the project remains unchanged
CUST046895|Education Loan|775000|2024-05-25|Thank you for your attention that the invoice details are correctly reflected in your records
CUST096902|Travel Loan|527000|2025-01-17|Thank you for your attention that the invoice details are correctly reflected in your records
CUST046048|Auto Loan|836000|2024-07-16|I would like to inform you that the invoice details are correctly reflected in your records
CUST009850|Top-Up Loan|91000|2025-02-15|Please do not hesitate to reach out that we maintain open communication during the implementation period
CUST062806|Top-Up Loan|38000|2024-06-25|It would be awesome if we could grab dinner sometime this week and catch up properly
CUST063544|Travel Loan|835000|2025-01-13|We are awaiting your confirmation that your comments are incorporated into the final version of the agreement
CUST048789|Credit Card Loan|591000|2024-07-03|Thinking we should we could host a small get-together at my place this weekend
CUST096907|Personal Loan|236000|2024-08-22|We should arrange a meeting that your valuable feedback is shared with the broader management team
CUST084578|Top-Up Loan|909000|2024-09-14|Please ensure that that the invoice details are correctly reflected in your records
CUST097744|Auto Loan|312000|2024-08-05|We should arrange a meeting that the scheduled timeline for the project remains unchanged
CUST086222|Medical Loan|767000|2024-05-10|Just wanted to say we could go for a hike if the weather stays good
CUST072090|Credit Card Loan|169000|2025-03-18|Thinking we should we could go on a spontaneous road trip without much planning
CUST074573|Business Loan|918000|2024-11-17|It has been way too long since we could hang out by the beach before it gets colder again
CUST044698|Loan Against Deposit|646000|2024-09-22|We should arrange a meeting that there are no pending items before the closure of this phase
CUST055587|Loan Against Deposit|266000|2024-05-21|It would be awesome if we could book tickets for that concert happening next month
CUST065073|Travel Loan|61000|2025-02-16|I am writing to follow up that your valuable feedback is shared with the broader management team
CUST047653|Top-Up Loan|609000|2024-10-23|You should definitely join we could book tickets for that concert happening next month
CUST020856|Auto Loan|734000|2024-07-31|Thinking we should we could go on a spontaneous road trip without much planning
CUST008014|Education Loan|377000|2024-07-19|Kindly let me know that there are no pending items before the closure of this phase
CUST091377|Top-Up Loan|821000|2024-11-04|Maybe we can plan something we could spend a lazy Sunday just binge-watching old shows
CUST049643|Home Loan|79000|2024-10-05|It would be awesome if we could book tickets for that concert happening next month
CUST079793|Top-Up Loan|320000|2025-05-05|It would be awesome if we could go for a hike if the weather stays good
CUST070561|Travel Loan|341000|2024-06-30|Please do not hesitate to reach out that the invoice details are correctly reflected in your records
CUST049054|Travel Loan|836000|2024-06-14|I would like to inform you that the project deliverables are submitted by the upcoming deadline
CUST087584|Travel Loan|868000|2024-10-22|Kindly let me know that we maintain open communication during the implementation period
CUST044090|Education Loan|923000|2024-11-07|Just wanted to say we could grab dinner sometime this week and catch up properly
CUST097671|Education Loan|398000|2024-09-24|Please ensure that that your comments are incorporated into the final version of the agreement
CUST054641|Credit Card Loan|735000|2025-01-05|You should definitely join we could host a small get-together at my place this weekend
CUST038299|Home Loan|283000|2024-08-18|Thank you for your attention that the invoice details are correctly reflected in your records
CUST013036|Business Loan|733000|2024-08-27|I finally got time to we could hang out by the beach before it gets colder again
CUST041313|Business Loan|395000|2024-10-05|It would be greatly appreciated if that your valuable feedback is shared with the broader management team
CUST026283|Medical Loan|556000|2025-03-26|Please do not hesitate to reach out that the revised contract terms are reviewed and accepted
CUST006366|Loan Against Deposit|894000|2024-09-23|I finally got time to we could spend a lazy Sunday just binge-watching old shows
CUST054513|Credit Card Loan|799000|2024-12-28|The requested documents have been prepared and that all compliance requirements have been successfully met
CUST067074|Education Loan|533000|2025-02-16|You should definitely join we could hang out by the beach before it gets colder again
CUST096457|Loan Against Deposit|818000|2024-05-30|We are awaiting your confirmation that the project deliverables are submitted by the upcoming deadline
CUST065965|Top-Up Loan|778000|2025-02-28|You should definitely join we could grab dinner sometime this week and catch up properly
CUST027325|Travel Loan|963000|2024-07-04|It has been way too long since we could start working on that project idea we joked about earlier
CUST009490|Auto Loan|912000|2024-07-21|It would be greatly appreciated if that the revised contract terms are reviewed and accepted
CUST059122|Medical Loan|635000|2024-05-22|I am writing to follow up that your comments are incorporated into the final version of the agreement
CUST074207|Education Loan|481000|2025-02-23|The requested documents have been prepared and that there are no pending items before the closure of this phase
CUST002158|Auto Loan|717000|2024-06-22|We should arrange a meeting that there are no pending items before the closure of this phase
CUST060353|Loan Against Deposit|419000|2024-08-18|Please do not hesitate to reach out that your valuable feedback is shared with the broader management team
CUST007814|Medical Loan|247000|2024-08-25|Maybe we can plan something we could book tickets for that concert happening next month
CUST002872|Credit Card Loan|504000|2024-07-07|We seriously need to we could start working on that project idea we joked about earlier
CUST093199|Auto Loan|181000|2025-01-16|You should definitely join we could check out that new movie you mentioned last month
CUST030308|Credit Card Loan|946000|2024-08-01|Hey I was thinking we could go for a hike if the weather stays good
CUST016629|Top-Up Loan|117000|2024-12-04|The requested documents have been prepared and that all compliance requirements have been successfully met
CUST098256|Loan Against Deposit|623000|2024-05-06|Maybe we can plan something we could go for a hike if the weather stays good
CUST086696|Education Loan|265000|2024-08-05|It has been way too long since we could try that new pizza place everyone keeps recommending
CUST086487|Top-Up Loan|189000|2024-12-10|It has been way too long since we could try that new pizza place everyone keeps recommending
CUST009384|Medical Loan|318000|2024-07-06|It would be greatly appreciated if that the updated policy guidelines have been distributed to all departments
CUST047999|Personal Loan|365000|2024-09-02|It would be awesome if we could go on a spontaneous road trip without much planning
CUST063773|Loan Against Deposit|486000|2024-12-15|It would be greatly appreciated if that the invoice details are correctly reflected in your records
CUST036371|Education Loan|245000|2024-11-16|It would be awesome if we could grab dinner sometime this week and catch up properly
CUST043333|Business Loan|812000|2024-07-31|Let me know if we could hang out by the beach before it gets colder again
CUST010746|Medical Loan|70000|2024-11-02|Maybe we can plan something we could grab dinner sometime this week and catch up properly
CUST006198|Top-Up Loan|754000|2024-06-11|Thinking we should we could hang out by the beach before it gets colder again
CUST060487|Auto Loan|179000|2024-09-04|You should definitely join we could go on a spontaneous road trip without much planning
CUST060534|Home Loan|444000|2024-05-22|You should definitely join we could hang out by the beach before it gets colder again
CUST070164|Education Loan|281000|2024-06-03|I would like to inform you that all compliance requirements have been successfully met
CUST001563|Auto Loan|935000|2025-01-23|Hey I was thinking we could go on a spontaneous road trip without much planning
CUST015088|Travel Loan|362000|2024-05-15|Just wanted to say we could go for a hike if the weather stays good
CUST059019|Personal Loan|536000|2024-09-14|Just wanted to say we could spend a lazy Sunday just binge-watching old shows
CUST014231|Credit Card Loan|715000|2024-07-06|It has been way too long since we could start working on that project idea we joked about earlier
CUST004641|Loan Against Deposit|273000|2024-09-14|I finally got time to we could start working on that project idea we joked about earlier
CUST070294|Personal Loan|115000|2025-04-22|I am writing to follow up that the revised contract terms are reviewed and accepted
CUST085246|Loan Against Deposit|240000|2024-12-24|It would be awesome if we could try that new pizza place everyone keeps recommending
CUST026983|Personal Loan|836000|2025-02-04|Thank you for your attention that your valuable feedback is shared with the broader management team
CUST096931|Medical Loan|705000|2025-04-06|Thinking we should we could host a small get-together at my place this weekend
CUST011880|Auto Loan|317000|2025-01-09|The requested documents have been prepared and that your valuable feedback is shared with the broader management team
CUST047707|Travel Loan|398000|2024-05-21|Please do not hesitate to reach out that your valuable feedback is shared with the broader management team
CUST044854|Personal Loan|142000|2025-02-16|We are awaiting your confirmation that there are no pending items before the closure of this phase
CUST036529|Home Loan|213000|2024-08-08|Thank you for your attention that your comments are incorporated into the final version of the agreement
CUST031431|Travel Loan|82000|2025-04-29|Maybe we can plan something we could book tickets for that concert happening next month
